slide_id,true_label,pred_prob
2473534-B2,1,0.10126045346260071
2473545-B2,1,0.9999063014984131
2473545-B3,1,0.9991088509559631
2473549-B,1,0.999998927116394
2473600-B3,1,0.9999998807907104
2473608-B2,1,0.9876081347465515
2473621-B3,1,0.9067404866218567
2473623-B2,1,0.9999990463256836
2473738-B3,1,0.9978926777839661
2474124-B2,1,0.9999973773956299
2474140-B3,1,0.927669882774353
2474150-B3,1,0.9869030714035034
2474188-B2,1,0.9979360103607178
2474189-B7,1,0.027310287579894066
2474291-B2,1,0.9999960660934448
2474337-B3,1,0.9728752374649048
2474500-B2,1,0.9950921535491943
2474612-B2,1,0.9998114705085754
2474626-B2,1,0.9998717308044434
2474631-B3,1,0.9999518394470215
2474638-B3,1,0.9771989583969116
2474704-B2,1,0.9954259991645813
2474718-B4,1,0.9999877214431763
2474721-B,1,0.5642533898353577
2474739-B2,1,0.999945878982544
2474901-B,1,0.9972357153892517
2475011-B2,1,0.9964219331741333
2475022-B,1,0.9999743700027466
2475126-B2,1,0.9999772310256958
2475159-B,1,0.9713013172149658
2475184-B2,1,0.8529558181762695
2475349-B2,1,0.9961840510368347
2476242-B2,1,0.9999740123748779
2476250-B2,1,0.9823428988456726
2476252-B2,1,0.9990566372871399
2476286-B2,0,0.7051581740379333
2476295-B3,1,0.9999971389770508
2476299-B2,0,0.033720310777425766
2476358-B2,1,0.9992902278900146
2476376-B2,1,0.9456391334533691
2476391-B2,1,0.9869577884674072
2476681-B2,1,0.9943641424179077
2476693-B3,0,0.5213633179664612
2476750-B,1,0.9999978542327881
2476834-B3,1,0.9942967295646667
2476856-B2,1,0.9993504881858826
2476983-B,1,0.999301552772522
2476984-B2,1,0.9997240900993347
2477039-B,1,0.9865661263465881
2477053-B3,1,0.9997774958610535
2477058-B2,1,0.998794436454773
2477118-B3,1,0.986604630947113
2477118-B4,1,0.9518404603004456
2477189-B2,1,0.5185071229934692
2477189-B3,1,0.6457170844078064
2477274-B3,1,0.9989227652549744
2477285-B2,1,0.9998601675033569
2477299-B2,1,0.9999698400497437
2477473-B2,1,0.09580615907907486
2477476-B2,1,0.9987545013427734
2477541-B2,1,0.9999425411224365
2477577-B3,1,0.9999890327453613
2477668-B3,1,0.9998410940170288
2477670-B2,1,0.948384702205658
2477695-B2,1,0.9995336532592773
2477809-B3,1,0.9999908208847046
2477814-B5,1,0.9980363249778748
2477926-B4,0,9.59441877057543e-06
2477941-B2,1,0.9911139607429504
2477949-B2,1,0.7899854779243469
2477977-B3,1,0.9997182488441467
2478091-B4,1,0.009171823970973492
2481696-B4,1,0.9959540367126465
2481703-B2,1,0.9999915361404419
2481723-B2,1,0.9999878406524658
2481750-B2,1,0.9997145533561707
2482055-B2,1,0.9669129252433777
2482056-B4,1,0.9998992681503296
2482056-B9,1,0.998981773853302
2482111-B2,0,0.34089478850364685
2482461-B2,1,0.9987741112709045
2482483-B2,1,0.9770339131355286
2482607-B,1,0.9999793767929077
2482883-B2,0,2.6937530492432415e-05
2482886-B2,1,0.2756173312664032
2482896-B2,1,0.9995397329330444
2482947-B2,1,0.948673665523529
2482952-B2,1,0.999991774559021
2482956-B,1,0.996298611164093
2482957-B2,1,0.9999698400497437
2482962-B2,1,0.9788705110549927
2482964-B2,1,0.9997839331626892
2482969-B,1,0.7976878881454468
2482992-B,1,0.9979934692382812
2483014-B4,1,0.8626406788825989
2483055-B2,1,0.9999656677246094
2483073-B3,0,2.933273572125472e-05
2483211-B2,1,0.9572789669036865
2483215-B5,1,0.9935427904129028
2483215-B6,1,0.9999995231628418
2483220-B1,1,0.9597523808479309
2483363-B3,1,0.9999997615814209
2483768-B4,1,0.9562749266624451
2483846-B,1,0.9965986609458923
2483850-B2,0,0.42762866616249084
2483862-B2,1,0.9995923638343811
2483868-B4,1,0.9999806880950928
2483961-B3,1,0.9999978542327881
2483973-B1,1,0.4281320869922638
2483993-B2,1,0.37303993105888367
2484004-B2,1,0.9765776991844177
2484209-B2,1,0.9990860223770142
2484220-B3,1,0.9999998807907104
2484228-B,1,0.015505504794418812
2484301-B2,1,0.9994159936904907
2484312-B2,1,0.43841198086738586
2484463-B2,1,0.9996415376663208
2484633-B2,1,0.9988939166069031
2484660-B2,0,0.9996674060821533
2484727-B2,1,0.9990853071212769
2484734-B4,1,0.9940145611763
2484734-B5,1,0.9995415210723877
2484743-B4,1,0.9999890327453613
2484771-B3,1,0.993747353553772
2484791-B2,0,0.030177291482686996
2484791-B3,1,0.999864935874939
2484862-B3,0,0.01859454996883869
2484883-B2,1,0.9997060894966125
2485059-B2,1,0.9999833106994629
2485164-B2,0,0.07900641858577728
2485259-B6,1,0.4439317286014557
2485275-B2,1,0.05985676124691963
2485276-B3,0,0.9875074028968811
2485303-B2,1,0.9535617828369141
2485318-B2,1,0.995061457157135
2485322-B2,1,0.9978708028793335
2485328-B2,1,0.9980301260948181
2485473-B2,0,0.4503030478954315
2485517-B2,1,0.9999983310699463
2485536-B2,0,0.011964479461312294
2485632-B,0,9.687187230156269e-06
2485635-B2,1,0.8036960363388062
2485803-B2,1,0.9286080598831177
2485805-B,1,0.9435729384422302
2485969-B2,1,0.9953423738479614
2486100-B,1,0.13124406337738037
2486102-B2,0,0.002600923180580139
2486104-B1,1,0.99915611743927
2486104-B2,1,0.9286371469497681
2486165-B2,1,0.9999516010284424
2486191-B,1,0.9997304081916809
2486197-B2,1,0.999934196472168
2486262-B4,1,0.9931140542030334
2486653-B2,1,0.9929881691932678
2486653-B3,1,0.9980334639549255
2486687-B3,1,0.9979434609413147
2486812-B2,1,0.9977191090583801
2486813-B2,1,0.9967593550682068
2486833-B2,1,0.9479932188987732
2486845-B2,1,0.9902323484420776
2486859-B2,1,0.9999996423721313
2487043-B,0,0.9951743483543396
2487053-B2,0,0.0028466118965297937
2487063-B2,0,0.08688153326511383
2487140-B2,1,0.9995473027229309
2487143-B,1,0.999749481678009
2487146-B2,1,0.9993777275085449
2487237-B2,1,0.9998947381973267
2487246-B2,1,0.9996734857559204
2487274-B2,1,0.9990614056587219
